freq,c_dest,purpose,duration,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,DOM,PER,N15-28,NR,CY	21690 bu	: u	27160 u	11637 u	16650 u	10878 u	13798 u	10601 u	25854 u	: u	: u	13297 u
A,DOM,PER,N15-28,NR,CZ	503459 	505116 	528303 	420191 	441060 	518830 	493683 	489893 	504464 	543949 	443393 	450536 
A,DOM,PER,N15-28,NR,DE	1712029 	1795844 	1618600 	2121849 	1676660 	2049284 	2006094 	2559781 	2027248 	1656640 	1976572 	1445206 
A,DOM,PER,N15-28,NR,DK	94816 u	117968 bu	164811 	92252 u	124751 u	89033 u	126090 u	114232 u	245966 	106669 u	: u	116471 u
A,DOM,PER,N15-28,NR,EA20	21008885 	20531843 	19440033 	19590486 	18727433 	18789575 	18756306 	18768706 	16194982 	17466772 	17689929 	16722911 
A,DOM,PER,N15-28,NR,EE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,DOM,PER,N15-28,NR,EL	563367 	526347 	617400 	533467 	535396 	622863 	572810 	523469 	631085 	552689 	600594 	534879 
A,DOM,PER,N15-28,NR,ES	3918601 	3972501 	3639885 	3329264 b	3475404 	3302473 	2891892 	3131610 	2551864 	2982724 	3085805 	3119038 
A,DOM,PER,N15-28,NR,EU27_2020	23132015 e	22339900 e	21665573 	21838225 	21233659 	21422433 	21397803 	21358279 	18458532 	19765024 	20239572 	19426293 e
A,DOM,PER,N15-28,NR,FI	126076 bu	193962 	123671 u	160278 u	178783 u	170819 u	133811 u	205446 	402179 	490748 	464290 	309098 
A,DOM,PER,N15-28,NR,FR	10504291 	10008869 	10060354 	8891408 	8846916 	8735791 	8770612 	7866148 	6952259 	7573511 	7565999 	7496389 
A,DOM,PER,N15-28,NR,HR	244485 	222867 	165039 	209710 	114617 	114217 	91402 	136127 	84535 	119003 	135994 	168382 
A,DOM,PER,N15-28,NR,HU	144713 	89979 	104617 	71834 	68640 	45089 	77384 	86337 	64991 	75197 	59273 	54825 
A,DOM,PER,N15-28,NR,IE	62421 	50617 	48304 	62982 	45388 u	43816 u	51984 	55054 	51865 	34496 u	: u	: u
A,DOM,PER,N15-28,NR,IT	2568690 	2362883 	1896392 b	2936500 	2554911 	2466234 	2864844 	2882503 	2116580 	2539947 	2725779 	2378736 
A,DOM,PER,N15-28,NR,LT	14561 	16101 	7838 u	11888 	35286 	21307 	29650 	32543 	13253 u	13246 u	17670 u	22108 
A,DOM,PER,N15-28,NR,LU	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,DOM,PER,N15-28,NR,LV	30632 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	28610 u	: u
A,DOM,PER,N15-28,NR,ME	: 	: 	: 	: 	20176 u	18065 u	: 	: 	: 	: 	: 	: 
A,DOM,PER,N15-28,NR,MK	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: 	: 
A,DOM,PER,N15-28,NR,MT	: u	: 	: u	: u	: 	: u	: u	: u	: u	: u	: u	: u
A,DOM,PER,N15-28,NR,NL	575526 b	603251 	546911 	592101 	577674 	570557 	577705 	630746 	633017 	723523 	384526 	414971 
A,DOM,PER,N15-28,NR,NO	: 	208874 	191140 	180526 	182779 	175315 u	252105 	: 	: 	430075 	336770 	312840 
A,DOM,PER,N15-28,NR,PL	884794 	560518 	948098 b	1108416 	1331079 	1303132 	1357672 	1305993 	727376 	941512 	1153610 	1192844 
A,DOM,PER,N15-28,NR,PT	371538 	454345 	357298 	359172 	332806 	380961 	371682 	364533 	411157 	464375 	345684 	390641 
A,DOM,PER,N15-28,NR,RO	150759 	145639 	137431 	110921 	104970 	134062 	72353 	93838 	63617 	88851 	75836 	91206 
A,DOM,PER,N15-28,NR,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,DOM,PER,N15-28,NR,SE	: 	: 	312563 	418896 	420194 	519665 	487181 	456523 	634690 	528241 	731742 u	: 
A,DOM,PER,N15-28,NR,SI	: u	: u	: u	: 	: u	: u	: u	: u	: 	: u	: u	: u
A,DOM,PER,N15-28,NR,SK	149850 u	: u	: u	149583 u	126463 u	110755 u	127852 u	192241 	92427 u	66801 u	142761 u	166761 u
A,DOM,PER,N15-28,NR,UK	624259 	651097 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N29-91,NR,AL	: 	: 	: 	: 	: 	25770 	: 	41528 	79788 	: 	: 	: 
A,DOM,PER,N29-91,NR,AT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,DOM,PER,N29-91,NR,BE	: u	27344 u	: u	: u	: u	: u	35669 u	: u	: u	: u	: u	: u
A,DOM,PER,N29-91,NR,BG	: u	27903 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,DOM,PER,N29-91,NR,CH	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 
A,DOM,PER,N29-91,NR,CY	15098 bu	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,DOM,PER,N29-91,NR,CZ	119525 u	112018 u	142365 u	114709 u	98256 u	57869 u	: u	157953 	148304 u	139291 u	96860 u	: u
A,DOM,PER,N29-91,NR,DE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,DOM,PER,N29-91,NR,DK	: u	: u	110830 u	75940 u	: u	: u	: u	93007 u	: u	: u	: u	: u
A,DOM,PER,N29-91,NR,EA20	7059804 	7334497 	6472235 	4948767 	5123331 	4618120 	4325649 	4534192 	4681917 	4430710 	4201365 	4298765 
A,DOM,PER,N29-91,NR,EE	: u	: u	: u	: u	: u	: u	: 	: u	: u	: 	: u	: u
A,DOM,PER,N29-91,NR,EL	248909 	341807 	361067 	341890 	336316 	340311 	373650 	433585 	418715 	362796 	337551 	343201 
A,DOM,PER,N29-91,NR,ES	2422668 	2613169 	2305303 	1531924 b	1487250 	1599795 	1441677 	1473871 	1660000 	1643111 	1543436 	1470123 
A,DOM,PER,N29-91,NR,EU27_2020	7621768 e	7689372 e	7191994 	5684049 	5862137 	5368508 	4979223 	5322764 	5400409 	5162794 	4830641 	4767715 e
A,DOM,PER,N29-91,NR,FI	: u	: u	: u	: u	: u	: u	: u	106982 	158049 u	87830 u	: u	: u
A,DOM,PER,N29-91,NR,FR	2209592 	2135342 	2156466 	2096641 	1950782 	1315019 	1440389 	1265316 	1283417 	1142637 	925096 	1274712 
A,DOM,PER,N29-91,NR,HR	59445 u	96004 	93276 	77539 	76926 	74754 	69004 	66197 	76225 	77883 	73317 	77623 
A,DOM,PER,N29-91,NR,HU	18323 u	10320 u	12635 u	11683 u	15502 u	: u	16372 u	26181 	38447 	12173 u	13877 u	28219 u
A,DOM,PER,N29-91,NR,IE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 
A,DOM,PER,N29-91,NR,IT	1314430 	1219896 	611058 bu	: u	: u	429024 u	: u	: u	224058 u	461366 u	467986 	347970 u
A,DOM,PER,N29-91,NR,LT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,DOM,PER,N29-91,NR,LU	: u	: 	: 	: 	: u	: u	: 	: u	: u	: u	: u	: u
A,DOM,PER,N29-91,NR,LV	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	39481 u	: u
A,DOM,PER,N29-91,NR,ME	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 
A,DOM,PER,N29-91,NR,MK	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,DOM,PER,N29-91,NR,MT	: 	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 
A,DOM,PER,N29-91,NR,NL	411677 b	310180 	288048 	289928 	320889 	376234 	370980 	360780 	239235 	272078 	333208 	338102 
A,DOM,PER,N29-91,NR,NO	: 	: u	80853 u	: u	87595 u	68337 u	: u	: 	: 	127528 u	110885 u	: u
A,DOM,PER,N29-91,NR,PL	257895 u	: u	335687 b	375255 	388757 	406177 	357757 	365063 	369133 	403380 	352609 	215051 
A,DOM,PER,N29-91,NR,PT	127392 	239657 	132378 	89421 	109883 	111959 	116236 	135920 	199722 	179920 	128433 	129631 
A,DOM,PER,N29-91,NR,RO	48418 u	45461 u	44712 u	25239 u	17787 u	56350 u	45945 u	42491 u	29825 u	36373 u	: 	: u
A,DOM,PER,N29-91,NR,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,DOM,PER,N29-91,NR,SE	: 	: 	: u	: u	168015 u	181091 u	125289 u	91120 u	83222 u	116766 u	: u	: 
A,DOM,PER,N29-91,NR,SI	: u	: u	: u	: u	: u	: u	: 	: u	: 	: u	: u	: u
A,DOM,PER,N29-91,NR,SK	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,DOM,PER,N29-91,NR,UK	156173 u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N4-7,NR,AL	: 	: 	: 	: 	: 	513117 	: 	925794 	711855 	: 	: 	: 
A,DOM,PER,N4-7,NR,AT	2754951 	2844787 	2382041 	2345024 	2696300 	2560066 	2692500 	2647713 	2470188 	2302888 	2621801 	2882530 
A,DOM,PER,N4-7,NR,BE	710276 	642294 	557751 	679554 	850200 	569402 b	778796 	848883 	774925 	1207442 	845227 	930835 
A,DOM,PER,N4-7,NR,BG	793350 b	1004933 	892049 	811989 	1046691 	1506790 	1362454 	1218353 	775808 	1085645 	1167396 	1312086 
A,DOM,PER,N4-7,NR,CH	1737957 	1810331 	1675781 	1603366 	1518523 	1827542 	1692881 	1610302 	2093221 	2104684 	1966085 	: 
A,DOM,PER,N4-7,NR,CY	193192 b	305934 	206253 	162553 	189107 	174586 	188894 	210159 	179209 	225997 	266683 	226020 
A,DOM,PER,N4-7,NR,CZ	5478588 	5094009 	5747936 	5256953 	6414513 	6053548 	6135175 	6345420 	5564408 	5744032 	6401796 	5235522 
A,DOM,PER,N4-7,NR,DE	34121923 	32036846 	32716957 	32659459 	33143037 	31513553 	33459959 	34431390 	24751321 	29639205 	34274319 	34486311 
A,DOM,PER,N4-7,NR,DK	2511941 	2431453 b	2608032 	2464318 	2454562 	2726190 	2632708 	3404138 	3369078 	2627560 	1993651 	1894185 
A,DOM,PER,N4-7,NR,EA20	130574680 	127406476 	126348845 	122215017 	125038209 	126679785 	132793096 	132216347 	100678017 	127618442 	135879663 	138071164 
A,DOM,PER,N4-7,NR,EE	171642 	141114 	174350 	189720 	188212 	215222 	224437 	255175 	187609 	219598 	201731 	224467 
A,DOM,PER,N4-7,NR,EL	2052074 	1534594 	1841908 	1662959 	1475871 	2045299 	2056391 	1798606 	1295434 	1642853 	2086351 	2305220 
A,DOM,PER,N4-7,NR,ES	18156738 	17827348 	17417729 	18603749 b	20035722 	20696946 	21609792 	21831808 	12040638 	19037299 	21747675 	23909598 
A,DOM,PER,N4-7,NR,EU27_2020	160608423 e	156312716 e	156756300 	152466246 	157487539 	162597488 	169102515 	171623409 	134905617 	166853216 	178618740 	180684015 e
A,DOM,PER,N4-7,NR,FI	4397840 b	4309306 	4346998 	4349283 	4349891 	4244672 	4423797 	4011896 	4535261 	5962710 	4972906 	4531068 
A,DOM,PER,N4-7,NR,FR	45408323 	46134091 	46224523 	41909497 	40657353 	42741056 	43028030 	41570453 	35743704 	43754797 	46192044 	45375378 
A,DOM,PER,N4-7,NR,HR	1152573 	1275298 	1009683 	1000858 	656061 	715416 	823635 	887530 	615867 	938892 	771486 	907687 
A,DOM,PER,N4-7,NR,HU	2852261 	2778659 	2719413 	2694211 	2600330 	2520197 	2560453 	2644022 	1716644 	1919366 	2069439 	2299297 
A,DOM,PER,N4-7,NR,IE	862511 	965634 	868160 	870999 	954698 	959550 	1018391 	1141716 	1059173 	800984 	1454400 	1233419 
A,DOM,PER,N4-7,NR,IT	11160309 	10608860 	10136558 b	9078703 	10998445 	11170101 	13062526 	11995921 	8135755 	10496146 	10600393 	10997603 
A,DOM,PER,N4-7,NR,LT	253095 	389483 	339728 	286375 	298778 	258850 	266266 	289331 	282516 	305806 	353510 	383735 
A,DOM,PER,N4-7,NR,LU	: u	: u	: u	: u	: u	: u	: u	: u	14411 u	14832 u	23737 	15502 u
A,DOM,PER,N4-7,NR,LV	273082 	209597 	319033 	217966 	196923 	142363 	200441 	224753 	177840 	223569 	176729 	222149 
A,DOM,PER,N4-7,NR,ME	: 	: 	: 	: 	260900 	207198 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N4-7,NR,MK	: 	: 	: 	: 	: 	: 	: 	59970 	53732 	66990 	: 	: 
A,DOM,PER,N4-7,NR,MT	20633 u	: u	27911 b	28186 	40837 	37420 	39035 	33455 	63785 	73607 	63704 	68821 
A,DOM,PER,N4-7,NR,NL	5423957 b	5016166 	4713042 	4781921 	4859235 	4691916 	4666742 	4975305 	4976454 	6589676 	4636123 	4544588 
A,DOM,PER,N4-7,NR,NO	: 	2081663 	2409731 	2271769 	2311717 	2590255 	2912979 	: 	: 	4219285 	4039658 	3921175 
A,DOM,PER,N4-7,NR,PL	8982064 	8170132 	9378418 b	9739478 	10552567 	11160481 	11943711 	12997336 	10647916 	13257747 	14866556 	14362542 
A,DOM,PER,N4-7,NR,PT	1786514 	1917813 	1722843 	2006133 	1884768 	2232910 	2314034 	2792080 	2066636 	2530917 	2672754 	2749348 
A,DOM,PER,N4-7,NR,RO	4873182 	4975510 	4671128 	4267600 	4551151 	4541093 	4986117 	5672551 	3620541 	5036096 	5136181 	5727250 
A,DOM,PER,N4-7,NR,RS	: 	: 	: 	: 	: 	: 	309981 	: 	: 	: 	: 	: 
A,DOM,PER,N4-7,NR,SE	: 	: 	4390478 	5016679 	4829516 	7409403 	6688801 	7125242 	8533205 	9564327 	11104059 	: 
A,DOM,PER,N4-7,NR,SI	303238 	294205 	279367 	271927 	297509 	241805 	257870 	275839 	347642 	534843 	480480 	458743 
A,DOM,PER,N4-7,NR,SK	1369704 	934282 b	1059377 	1104494 	1262384 	1464028 	1679658 	1991020 	959648 	1116381 	1437610 	1618143 
A,DOM,PER,N4-7,NR,UK	20744559 	20331065 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N8-14,NR,AL	: 	: 	: 	: 	: 	207723 	: 	301638 	218587 	: 	: 	: 
A,DOM,PER,N8-14,NR,AT	348935 	358657 	333369 	329503 	312352 	404214 	365376 	433803 	478849 	482006 	443310 	446019 
A,DOM,PER,N8-14,NR,BE	243283 	166002 	150205 	159839 	224062 	157047 b	204141 	211580 	223525 	307576 	247531 	165542 
A,DOM,PER,N8-14,NR,BG	235158 b	276820 	224597 	165120 	209658 	299049 	274890 	218302 	220819 	119614 	176174 	207010 
A,DOM,PER,N8-14,NR,CH	487900 	435514 	483019 	333192 	499274 	484375 	439721 	386405 	636142 	562070 	461494 	: 
A,DOM,PER,N8-14,NR,CY	31570 b	48113 u	69274 u	20944 	32016 	21896 u	17318 u	25506 u	30104 u	27233 u	: u	35854 
A,DOM,PER,N8-14,NR,CZ	1256478 	1377786 	1247416 	1292087 	1399711 	1464163 	1163854 	1418916 	1418721 	1398792 	1116860 	1102025 
A,DOM,PER,N8-14,NR,DE	9219375 	9390355 	8911137 	10897353 	10511921 	8842228 	10477032 	7941091 	8411673 	9478914 	7813030 	8173425 
A,DOM,PER,N8-14,NR,DK	445426 	417920 b	509587 	617857 	425822 	391686 	378290 	819636 	654518 	565286 	398578 	340117 
A,DOM,PER,N8-14,NR,EA20	49284496 	49765813 	48818642 	47787274 	48863369 	47836047 	49338409 	45248581 	41665421 	45927926 	45280006 	43623821 
A,DOM,PER,N8-14,NR,EE	53921 u	20251 u	25414 u	34458 u	: u	39537 u	: u	: u	: u	44872 u	: u	: u
A,DOM,PER,N8-14,NR,EL	725565 	824674 	892220 	798074 	885865 	807602 	947391 	858283 	789173 	868843 	1087499 	1052751 
A,DOM,PER,N8-14,NR,ES	6949915 	6646625 	6554473 	6860127 b	7584630 	7877497 	7772810 	7893816 	4959675 	6353867 	7497745 	7759864 
A,DOM,PER,N8-14,NR,EU27_2020	58988728 e	61833394 e	57251095 	56346029 	57513134 	57320806 	58339877 	55291286 	50804129 	56227178 	55382040 	54088408 e
A,DOM,PER,N8-14,NR,FI	729625 b	753642 	615830 	677632 	729137 	743130 	803291 	769252 	1521344 	1531538 	1455462 	1073481 
A,DOM,PER,N8-14,NR,FR	22228743 	23245582 	23042537 	20232310 	19967782 	19875001 	19896706 	18588328 	17968264 	18505698 	18735021 	17863866 
A,DOM,PER,N8-14,NR,HR	626498 	587380 	485837 	433630 	372722 	410802 	406411 	453692 	329715 	378223 	465216 	433757 
A,DOM,PER,N8-14,NR,HU	570917 	446429 	415579 	344720 	306500 	333777 	363750 	300983 	255825 	274866 	239946 	267908 
A,DOM,PER,N8-14,NR,IE	182970 	184813 	223359 	166595 	161795 	145827 	159782 	159851 	215189 	199073 	217807 	227010 
A,DOM,PER,N8-14,NR,IT	5162305 	4658838 	4943150 b	4363368 	5159637 	5770400 	5586295 	5053321 	3852490 	4466767 	4679574 	3752891 
A,DOM,PER,N8-14,NR,LT	135218 	92271 	108348 	128315 	72345 	120227 	120595 	89652 	73944 	72799 	34311 	39827 
A,DOM,PER,N8-14,NR,LU	: u	: u	: u	: u	: u	: u	: u	: u	: u	9227 u	8505 u	9355 u
A,DOM,PER,N8-14,NR,LV	53219 u	55308 u	63182 u	62944 u	37815 u	68227 u	45878 u	53429 u	44418 u	68064 u	43832 u	78898 u
A,DOM,PER,N8-14,NR,ME	: 	: 	: 	: 	59779 	64021 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N8-14,NR,MK	: 	: 	: 	: 	: 	: 	: 	17709 u	8278 u	14144 u	: 	: 
A,DOM,PER,N8-14,NR,MT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,DOM,PER,N8-14,NR,NL	1459967 b	1326488 	1358134 	1369704 	1523910 	1315402 	1295127 	1366570 	1533796 	1772673 	1143526 	1211582 
A,DOM,PER,N8-14,NR,NO	: 	688198 	808936 	710901 	695857 	722778 	685883 	: 	: 	1186285 	1064918 	1042681 
A,DOM,PER,N8-14,NR,PL	4879826 	7435554 	3993548 b	4073424 	4427297 	4679212 	4667428 	4886925 	3916324 	4613003 	4816935 	4923305 
A,DOM,PER,N8-14,NR,PT	903047 	1173484 	920838 	1054168 	969655 	1024837 	950166 	1053268 	1050603 	1125147 	1146300 	1068983 
A,DOM,PER,N8-14,NR,RO	948106 	772108 	719157 	627021 	590640 	464919 	522108 	449103 	309741 	474741 	469818 	564446 
A,DOM,PER,N8-14,NR,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,DOM,PER,N8-14,NR,SE	: 	: 	1322569 	1438527 	1290137 	1851953 	1631148 	1948841 	2362760 	2852952 	2883723 	: 
A,DOM,PER,N8-14,NR,SI	61252 	52657 	38530 u	49432 u	53872 	52524 	51354 u	61727 u	49780 u	89025 	42500 u	47597 u
A,DOM,PER,N8-14,NR,SK	157499 u	174554 bu	: u	145121 u	226086 u	154446 u	194718 	212160 	102308 u	142704 	168644 u	154916 u
A,DOM,PER,N8-14,NR,UK	3912082 	3459875 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N92-365,NR,AT	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: u	: u
A,DOM,PER,N92-365,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,DOM,PER,N92-365,NR,CH	: 	: 	: 	: 	: 	: 	: u	: u	: u	: 	: 	: 
A,DOM,PER,N92-365,NR,CY	: 	: u	: u	: u	: 	: u	: 	: 	: u	: u	: 	: 
A,DOM,PER,N92-365,NR,CZ	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N92-365,NR,DE	: 	: 	: u	: 	: 	: 	: u	: 	: u	: 	: u	: 
A,DOM,PER,N92-365,NR,DK	: u	: 	: 	75241 u	: u	: 	: 	: 	: 	: 	: u	: 
A,DOM,PER,N92-365,NR,EA20	194693 	357889 	285569 	159725 	140878 	116970 	140424 	130140 	438586 	135539 	245501 	115259 
A,DOM,PER,N92-365,NR,EE	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N92-365,NR,EL	: u	30399 	31336 	32510 	19879 u	33810 	52136 	26929 	34395 	59828 	47354 	37210 
A,DOM,PER,N92-365,NR,ES	97199 	200662 	161212 	: u	: u	: u	: 	: u	146029 	: u	: u	: u
A,DOM,PER,N92-365,NR,EU27_2020	253882 e	390442 e	330488 	248763 	192824 	125422 	159463 	144190 	451426 	135539 	254369 	118565 e
A,DOM,PER,N92-365,NR,FI	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u	: u	: u
A,DOM,PER,N92-365,NR,FR	76044 u	102873 u	: u	80917 u	78389 u	: u	: u	: u	: u	: u	: u	: u
A,DOM,PER,N92-365,NR,HR	: 	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 
A,DOM,PER,N92-365,NR,HU	: u	: 	: 	: 	: u	: 	: u	: u	: 	: 	: 	: 
A,DOM,PER,N92-365,NR,IT	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N92-365,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 
