freq,purpose,duration,c_dest,expend,statinfo,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PER,N_GE1,NEU27_2020_FOR,TRP_OTH,TOTAL,EUR,EA20	: 	: 	: 	: 	: 	: 	: 	: 	5774936164 	5737078090 	20264488464 	28715268260 
A,PER,N_GE1,NEU27_2020_FOR,TRP_OTH,TOTAL,EUR,EE	: 	: 	: 	: 	: 	: 	: 	: 	27123973 	17253557 	57923113 	76030371 
A,PER,N_GE1,NEU27_2020_FOR,TRP_OTH,TOTAL,EUR,EL	: 	: 	: 	: 	: 	: 	: 	: 	20907672 	23748300 	78645593 	85413954 
A,PER,N_GE1,NEU27_2020_FOR,TRP_OTH,TOTAL,EUR,ES	: 	: 	: 	: 	: 	: 	: 	: 	309551733 	425496983 	1227295848 	1540167447 
A,PER,N_GE1,NEU27_2020_FOR,TRP_OTH,TOTAL,EUR,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	7245950515 	7074452085 	23378984599 	32747448078 e
A,PER,N_GE1,NEU27_2020_FOR,TRP_OTH,TOTAL,EUR,FI	: 	: 	: 	: 	: 	: 	: 	: 	156690284 	63211519 	225721389 	289744530 
A,PER,N_GE1,NEU27_2020_FOR,TRP_OTH,TOTAL,EUR,FR	: 	: 	: 	: 	: 	: 	: 	: 	1051127358 	715918700 	2763411903 	4855016406 
A,PER,N_GE1,NEU27_2020_FOR,TRP_OTH,TOTAL,EUR,HR	: 	: 	: 	: 	: 	: 	: 	: 	14169083 	24041849 	41050215 	61229250 
A,PER,N_GE1,NEU27_2020_FOR,TRP_OTH,TOTAL,EUR,HU	: 	: 	: 	: 	: 	: 	: 	: 	51361392 	72765921 	129617228 	231392125 
A,PER,N_GE1,NEU27_2020_FOR,TRP_OTH,TOTAL,EUR,IE	: 	: 	: 	: 	: 	: 	: 	: 	221761375 	223746924 	740216034 	998184601 
A,PER,N_GE1,NEU27_2020_FOR,TRP_OTH,TOTAL,EUR,IT	: 	: 	: 	: 	: 	: 	: 	: 	286225410 	152930490 	767565220 	924072847 
A,PER,N_GE1,NEU27_2020_FOR,TRP_OTH,TOTAL,EUR,LT	: 	: 	: 	: 	: 	: 	: 	: 	19759192 	19990740 	61868508 	69035570 
A,PER,N_GE1,NEU27_2020_FOR,TRP_OTH,TOTAL,EUR,LU	: 	: 	: 	: 	: 	: 	: 	: 	62315219 	66609484 	271860252 	329713312 
A,PER,N_GE1,NEU27_2020_FOR,TRP_OTH,TOTAL,EUR,LV	: 	: 	: 	: 	: 	: 	: 	: 	11024943 u	20408316 	49329005 	55193345 
A,PER,N_GE1,NEU27_2020_FOR,TRP_OTH,TOTAL,EUR,MK	: 	: 	: 	: 	: 	: 	: 	: 	1959455 	7208446 	: 	: 
A,PER,N_GE1,NEU27_2020_FOR,TRP_OTH,TOTAL,EUR,MT	: 	: 	: 	: 	: 	: 	: 	: 	25647201 	28157738 	55218966 	72285123 
A,PER,N_GE1,NEU27_2020_FOR,TRP_OTH,TOTAL,EUR,NL	: 	: 	: 	: 	: 	: 	: 	: 	171565522 	129713964 	746306679 	902065957 
A,PER,N_GE1,NEU27_2020_FOR,TRP_OTH,TOTAL,EUR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	49689238 u	443481292 	233701709 
A,PER,N_GE1,NEU27_2020_FOR,TRP_OTH,TOTAL,EUR,PL	: 	: 	: 	: 	: 	: 	: 	: 	113018152 	107095172 	200062941 	297060058 
A,PER,N_GE1,NEU27_2020_FOR,TRP_OTH,TOTAL,EUR,PT	: 	: 	: 	: 	: 	: 	: 	: 	29376290 	12571271 	51300047 	66474105 
A,PER,N_GE1,NEU27_2020_FOR,TRP_OTH,TOTAL,EUR,RO	: 	: 	: 	: 	: 	: 	: 	: 	3962037 u	8356636 	23649934 	53354182 
A,PER,N_GE1,NEU27_2020_FOR,TRP_OTH,TOTAL,EUR,SE	: 	: 	: 	: 	: 	: 	: 	: 	314912151 	383813868 	639885037 	: 
A,PER,N_GE1,NEU27_2020_FOR,TRP_OTH,TOTAL,EUR,SI	: 	: 	: 	: 	: 	: 	: 	: 	5276813 u	73983250 	74511689 	144541637 
A,PER,N_GE1,NEU27_2020_FOR,TRP_OTH,TOTAL,EUR,SK	: 	: 	: 	: 	: 	: 	: 	: 	: u	17992659 u	79996222 	183694255 
A,PER,N_GE1,WORLD,ACCOM,AVG_NGT,EUR,AL	: 	: 	: 	: 	: 	3.57 	: 	6.08 	11.09 	: 	: 	: 
A,PER,N_GE1,WORLD,ACCOM,AVG_NGT,EUR,AT	58.69 	54.75 	49.70 	51.23 	50.96 	54.35 	56.37 	58.65 	47.77 	52.00 	55.69 	59.23 
A,PER,N_GE1,WORLD,ACCOM,AVG_NGT,EUR,BE	36.39 	34.40 	30.69 	31.11 	27.80 	38.01 b	35.73 	37.78 	26.02 	26.54 	35.46 	34.80 
A,PER,N_GE1,WORLD,ACCOM,AVG_NGT,EUR,BG	6.83 b	7.08 	9.15 	8.45 	8.32 	8.49 	9.90 	10.14 	12.53 	15.41 	21.03 	22.72 
A,PER,N_GE1,WORLD,ACCOM,AVG_NGT,EUR,CH	42.75 	43.72 	40.88 	40.29 	43.40 	41.01 	41.42 	42.13 	38.23 	53.79 	54.71 	: 
A,PER,N_GE1,WORLD,ACCOM,AVG_NGT,EUR,CY	13.91 b	12.22 	12.31 	13.70 	14.07 	15.92 	17.96 	20.88 	16.90 	18.41 	24.69 	29.20 
A,PER,N_GE1,WORLD,ACCOM,AVG_NGT,EUR,CZ	6.26 	6.73 	5.73 	7.11 	8.14 	9.00 	10.22 	10.04 	7.57 	8.79 	13.55 	17.56 
A,PER,N_GE1,WORLD,ACCOM,AVG_NGT,EUR,DE	33.54 	33.95 	33.37 	30.74 	33.54 	36.54 	39.56 	38.12 	28.78 	37.20 	46.86 	50.28 
A,PER,N_GE1,WORLD,ACCOM,AVG_NGT,EUR,DK	23.86 	30.05 b	32.91 b	29.57 	42.33 	42.32 	50.00 	37.20 	22.94 	24.12 	28.74 	39.30 
A,PER,N_GE1,WORLD,ACCOM,AVG_NGT,EUR,EA20	21.23 	21.28 	21.07 	21.60 	23.17 	25.35 	26.96 	27.27 	20.67 	24.26 	31.66 	34.33 
A,PER,N_GE1,WORLD,ACCOM,AVG_NGT,EUR,EE	15.76 	17.33 	17.37 	12.38 	13.29 	15.34 	23.24 	26.57 	27.01 	27.22 	39.74 	37.52 
A,PER,N_GE1,WORLD,ACCOM,AVG_NGT,EUR,EL	5.53 	4.43 	4.59 	4.68 	5.07 	4.92 	5.55 	6.25 	4.71 	6.25 	9.13 	9.46 
A,PER,N_GE1,WORLD,ACCOM,AVG_NGT,EUR,ES	8.09 	8.16 	8.30 	11.94 b	12.89 	14.10 	15.61 	16.18 	10.50 	14.07 	18.43 	20.42 
A,PER,N_GE1,WORLD,ACCOM,AVG_NGT,EUR,EU27_2020	19.78 e	20.09 e	19.52 	20.15 	21.65 	24.09 	25.57 	25.64 	19.17 	22.41 	29.36 	32.23 e
A,PER,N_GE1,WORLD,ACCOM,AVG_NGT,EUR,FI	18.67 b	18.07 	18.83 	18.14 	18.36 	19.88 	20.71 	21.36 	11.61 	10.51 	20.26 	21.72 
A,PER,N_GE1,WORLD,ACCOM,AVG_NGT,EUR,FR	14.39 b	14.72 	15.50 	15.80 	16.99 	17.80 	18.41 	18.92 	17.10 	18.41 	22.97 	24.63 
A,PER,N_GE1,WORLD,ACCOM,AVG_NGT,EUR,HR	9.06 	7.85 	7.22 	7.78 	9.35 	10.36 	12.06 	10.88 	8.98 	11.07 	14.84 	18.29 
A,PER,N_GE1,WORLD,ACCOM,AVG_NGT,EUR,HU	8.40 	9.02 	9.55 	9.97 	10.41 	12.13 	12.22 	12.76 	12.08 	13.00 	18.22 	24.16 
A,PER,N_GE1,WORLD,ACCOM,AVG_NGT,EUR,IE	26.31 	24.89 	27.39 	30.18 	31.17 	33.31 	33.25 	35.75 	35.29 	35.58 	44.45 	49.99 
A,PER,N_GE1,WORLD,ACCOM,AVG_NGT,EUR,IT	22.89 	22.05 	18.51 b	21.72 	23.81 	27.93 	24.29 	27.70 	25.03 	25.42 	29.05 	32.69 
A,PER,N_GE1,WORLD,ACCOM,AVG_NGT,EUR,LT	8.22 	8.47 	12.56 	13.84 	16.06 	18.13 	17.97 	18.69 	20.10 	19.84 	23.54 	23.53 
A,PER,N_GE1,WORLD,ACCOM,AVG_NGT,EUR,LU	30.65 	31.55 	38.77 	34.12 	32.72 	32.13 	34.19 	50.13 	32.94 	41.76 	56.77 	56.80 
A,PER,N_GE1,WORLD,ACCOM,AVG_NGT,EUR,LV	5.24 	7.83 	9.13 	9.52 	7.17 	9.79 	8.96 	13.65 	8.19 	10.79 	15.92 	20.43 
A,PER,N_GE1,WORLD,ACCOM,AVG_NGT,EUR,ME	: 	: 	: 	: 	4.38 	6.05 	: 	: 	: 	: 	: 	: 
A,PER,N_GE1,WORLD,ACCOM,AVG_NGT,EUR,MK	: 	: 	: 	: 	: 	: 	: 	9.20 	7.60 	12.64 	: 	: 
A,PER,N_GE1,WORLD,ACCOM,AVG_NGT,EUR,MT	24.75 	24.42 	30.42 b	34.23 	30.26 	31.20 	36.07 	39.21 	24.59 	30.70 	37.15 	43.82 
A,PER,N_GE1,WORLD,ACCOM,AVG_NGT,EUR,NL	20.26 b	20.44 	19.83 	20.58 	21.29 	25.83 	27.35 	27.37 	24.39 	24.72 	29.75 	31.49 
A,PER,N_GE1,WORLD,ACCOM,AVG_NGT,EUR,NO	: 	36.74 	31.24 	33.57 	34.32 	37.57 	24.42 	: 	: 	20.31 	31.57 	25.46 
A,PER,N_GE1,WORLD,ACCOM,AVG_NGT,EUR,PL	13.93 	16.07 	8.40 b	9.72 	9.85 	10.53 	11.54 	11.84 	11.19 	11.61 	12.94 	15.12 
A,PER,N_GE1,WORLD,ACCOM,AVG_NGT,EUR,PT	7.16 	4.64 	6.84 	8.59 	8.53 	8.90 	10.07 	12.58 	9.60 	11.76 	15.74 	17.90 
A,PER,N_GE1,WORLD,ACCOM,AVG_NGT,EUR,RO	6.55 	5.39 	5.60 	7.06 	7.20 	8.68 	10.38 	12.60 	11.91 	14.74 	19.54 	18.20 
A,PER,N_GE1,WORLD,ACCOM,AVG_NGT,EUR,RS	: 	: 	: 	: 	: 	: 	8.68 	: 	: 	: 	: 	: 
A,PER,N_GE1,WORLD,ACCOM,AVG_NGT,EUR,SE	: 	: 	11.14 	15.20 	15.52 	30.39 	30.05 	29.65 	15.22 	19.01 	28.30 	: 
A,PER,N_GE1,WORLD,ACCOM,AVG_NGT,EUR,SI	16.04 	15.23 	15.87 	17.35 	16.65 	18.42 	19.42 	21.20 	21.40 	23.39 	23.83 	25.09 
A,PER,N_GE1,WORLD,ACCOM,AVG_NGT,EUR,SK	17.23 	17.31 b	16.87 	17.62 	17.67 	16.55 	15.66 	18.94 	15.95 	18.73 	24.58 	29.85 
A,PER,N_GE1,WORLD,ACCOM,AVG_NGT,EUR,UK	: @C	29.76 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER,N_GE1,WORLD,ACCOM,AVG_TRP,EUR,AL	: 	: 	: 	: 	: 	19.19 	: 	31.71 	49.75 	: 	: 	: 
A,PER,N_GE1,WORLD,ACCOM,AVG_TRP,EUR,AT	302.48 	277.78 	253.86 	264.26 	257.96 	279.30 	275.26 	285.99 	206.47 	247.47 	269.93 	299.83 
A,PER,N_GE1,WORLD,ACCOM,AVG_TRP,EUR,BE	255.89 	256.58 	231.07 	222.52 	197.36 	255.58 b	258.36 	258.28 	184.60 	193.50 	245.69 	249.74 
A,PER,N_GE1,WORLD,ACCOM,AVG_TRP,EUR,BG	29.83 b	34.09 	40.82 	38.58 	37.03 	35.43 	44.57 	45.58 	58.42 	62.60 	89.59 	101.07 
A,PER,N_GE1,WORLD,ACCOM,AVG_TRP,EUR,CH	287.42 	283.46 	275.25 	271.84 	310.64 	284.72 	283.62 	308.55 	266.11 	354.07 	383.08 	: 
A,PER,N_GE1,WORLD,ACCOM,AVG_TRP,EUR,CY	95.60 b	88.82 	94.00 	91.84 	93.64 	103.84 	95.20 	115.94 	82.05 	77.06 	117.64 	150.78 
A,PER,N_GE1,WORLD,ACCOM,AVG_TRP,EUR,CZ	26.27 	28.78 	24.08 	29.90 	34.62 	37.31 	42.19 	43.10 	33.25 	38.85 	56.65 	79.95 
A,PER,N_GE1,WORLD,ACCOM,AVG_TRP,EUR,DE	186.56 	193.01 	195.98 	173.69 	190.85 	218.24 	238.63 	228.19 	163.70 	203.19 	295.66 	302.75 
A,PER,N_GE1,WORLD,ACCOM,AVG_TRP,EUR,DK	86.19 	100.64 b	115.99 b	108.75 	148.20 	162.54 	251.87 	176.52 	97.04 	96.98 	130.69 	182.68 
A,PER,N_GE1,WORLD,ACCOM,AVG_TRP,EUR,EA20	116.17 	119.62 	117.42 	116.83 	124.29 	134.56 	143.95 	145.08 	112.30 	124.78 	170.93 	182.58 
A,PER,N_GE1,WORLD,ACCOM,AVG_TRP,EUR,EE	65.46 	67.99 	60.99 	45.83 	42.03 	49.87 	75.44 	87.64 	81.09 	87.94 	130.99 	125.59 
A,PER,N_GE1,WORLD,ACCOM,AVG_TRP,EUR,EL	41.06 	47.72 	46.30 	47.17 	51.79 	49.32 	58.44 	66.24 	57.38 	72.99 	92.25 	92.11 
A,PER,N_GE1,WORLD,ACCOM,AVG_TRP,EUR,ES	38.85 	41.03 	40.64 	51.79 b	55.90 	58.81 	63.95 	67.16 	51.97 	62.08 	81.49 	89.94 
A,PER,N_GE1,WORLD,ACCOM,AVG_TRP,EUR,EU27_2020	104.39 e	108.29 e	104.73 	105.16 	112.50 	125.55 	134.13 	134.04 	99.26 	111.75 	153.46 	166.54 e
A,PER,N_GE1,WORLD,ACCOM,AVG_TRP,EUR,FI	64.78 b	63.94 	66.53 	63.19 	63.95 	70.50 	74.63 	82.97 	53.73 	40.68 	87.23 	97.53 
A,PER,N_GE1,WORLD,ACCOM,AVG_TRP,EUR,FR	82.42 b	85.16 	89.59 	91.52 	98.37 	95.20 	99.87 	99.98 	92.48 	92.01 	113.12 	120.40 
A,PER,N_GE1,WORLD,ACCOM,AVG_TRP,EUR,HR	48.87 	44.50 	40.64 	51.75 	57.41 	68.03 	68.87 	59.91 	59.79 	71.63 	90.25 	107.67 
A,PER,N_GE1,WORLD,ACCOM,AVG_TRP,EUR,HU	31.15 	34.91 	36.43 	36.88 	38.38 	43.85 	45.39 	50.26 	45.11 	47.97 	67.21 	94.80 
A,PER,N_GE1,WORLD,ACCOM,AVG_TRP,EUR,IE	138.67 	129.03 	140.99 	149.14 	153.57 	158.23 	153.98 	167.22 	135.31 	153.63 	190.50 	214.97 
A,PER,N_GE1,WORLD,ACCOM,AVG_TRP,EUR,IT	150.28 	154.52 	111.49 b	133.16 	132.94 	161.84 	135.56 	163.49 	153.72 	173.35 	187.66 	202.34 
A,PER,N_GE1,WORLD,ACCOM,AVG_TRP,EUR,LT	39.40 	42.04 	55.90 	62.56 	73.07 	83.13 	81.98 	82.22 	68.41 	64.43 	88.92 	90.79 
A,PER,N_GE1,WORLD,ACCOM,AVG_TRP,EUR,LU	224.97 	219.78 	259.79 	236.72 	237.20 	242.07 	238.10 	342.04 	252.98 	325.22 	429.11 	395.83 
A,PER,N_GE1,WORLD,ACCOM,AVG_TRP,EUR,LV	16.08 	26.24 	33.89 	29.71 	24.07 	31.87 	28.07 	47.24 	31.90 	39.93 	56.12 	75.13 
A,PER,N_GE1,WORLD,ACCOM,AVG_TRP,EUR,ME	: 	: 	: 	: 	26.42 	31.64 	: 	: 	: 	: 	: 	: 
A,PER,N_GE1,WORLD,ACCOM,AVG_TRP,EUR,MK	: 	: 	: 	: 	: 	: 	: 	55.73 	34.36 	65.45 	: 	: 
A,PER,N_GE1,WORLD,ACCOM,AVG_TRP,EUR,MT	141.93 	140.97 	163.15 b	174.89 	150.81 	158.53 	189.10 	196.26 	101.57 	138.04 	172.70 	199.37 
A,PER,N_GE1,WORLD,ACCOM,AVG_TRP,EUR,NL	125.06 b	128.28 	124.47 	132.92 	138.66 	174.03 	188.18 	184.85 	141.00 	136.06 	210.14 	221.20 
A,PER,N_GE1,WORLD,ACCOM,AVG_TRP,EUR,NO	: 	194.61 	171.48 	177.77 	186.30 	205.51 	114.47 	: 	: 	91.40 	151.41 	121.57 
A,PER,N_GE1,WORLD,ACCOM,AVG_TRP,EUR,PL	75.68 	86.76 	48.56 b	54.53 	55.34 	60.63 	66.01 	68.37 	61.37 	63.26 	73.49 	82.63 
A,PER,N_GE1,WORLD,ACCOM,AVG_TRP,EUR,PT	29.61 	22.72 	29.04 	35.36 	33.75 	36.14 	40.02 	51.09 	47.53 	55.83 	65.36 	73.64 
A,PER,N_GE1,WORLD,ACCOM,AVG_TRP,EUR,RO	26.92 	21.37 	22.11 	26.71 	26.79 	32.20 	38.18 	47.86 	43.15 	54.11 	70.75 	65.65 
A,PER,N_GE1,WORLD,ACCOM,AVG_TRP,EUR,RS	: 	: 	: 	: 	: 	: 	55.99 	: 	: 	: 	: 	: 
A,PER,N_GE1,WORLD,ACCOM,AVG_TRP,EUR,SE	: 	: 	50.29 	65.68 	72.77 	173.86 	156.05 	148.56 	56.34 	74.34 	122.89 	: 
A,PER,N_GE1,WORLD,ACCOM,AVG_TRP,EUR,SI	69.32 	63.41 	66.69 	84.14 	80.87 	81.96 	87.67 	95.36 	103.32 	95.27 	103.96 	100.89 
A,PER,N_GE1,WORLD,ACCOM,AVG_TRP,EUR,SK	101.76 	84.70 b	78.08 	88.74 	79.53 	72.24 	70.84 	88.12 	64.96 	76.67 	98.91 	130.45 
A,PER,N_GE1,WORLD,ACCOM,AVG_TRP,EUR,UK	: @C	176.14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER,N_GE1,WORLD,ACCOM,TOTAL,EUR,AL	: 	: 	: 	: 	: 	78561050 	: 	161369367 	157713096 	: 	: 	: 
A,PER,N_GE1,WORLD,ACCOM,TOTAL,EUR,AT	5445152118 	5066643681 	4656000280 	4732328376 	5077392375 	5474473491 	5577464108 	6065035960 	2612532354 	3995010867 	6754925774 	8098992931 
A,PER,N_GE1,WORLD,ACCOM,TOTAL,EUR,BE	2599541025 	3133184084 	2788276682 	2864472178 	2884785707 	3565717718 b	4004492857 	4349508320 	1610168193 	2329026039 	4160669399 	4474301657 
A,PER,N_GE1,WORLD,ACCOM,TOTAL,EUR,BG	102125910 b	127589695 	146074033 	112423480 	126618797 	186624701 	217884152 	215977819 	140909487 	191664199 	370954752 	467503677 
A,PER,N_GE1,WORLD,ACCOM,TOTAL,EUR,CH	4854820263 	5227655742 	4910007106 	5116032569 	5888099297 	5880478824 	5787353904 	5706145551 	3435696234 	4758521921 	6778548797 	: 
A,PER,N_GE1,WORLD,ACCOM,TOTAL,EUR,CY	218322869 b	192995762 	213402849 	201793770 	222847773 	261144613 	261096025 	333533484 	170088927 	173311287 	321228174 	447717441 
A,PER,N_GE1,WORLD,ACCOM,TOTAL,EUR,CZ	824888141 	851988734 	757228749 	859098690 	1094132675 	1283793060 	1399811291 	1443271950 	752698765 	987466996 	1817697652 	2166548096 
A,PER,N_GE1,WORLD,ACCOM,TOTAL,EUR,DE	37268124797 	39997580239 	38644337874 	36489990156 	40745659878 	44149039331 	53861112874 	50108012263 	20685398504 	31805552932 	56677099392 	65506045692 
A,PER,N_GE1,WORLD,ACCOM,TOTAL,EUR,DK	2279228269 	2946827022 b	3504118237 b	3275437359 	4048708002 	3845459442 	3844211249 	4592749179 	1892748831 	1440529136 	2127208099 	2937673568 
A,PER,N_GE1,WORLD,ACCOM,TOTAL,EUR,EA20	87314697832 	89197221053 	86268824516 	85589363512 	93528494071 	103993974361 	117133560305 	117017560897 	55699422798 	78871668759 	130802369182 	149015422015 
A,PER,N_GE1,WORLD,ACCOM,TOTAL,EUR,EE	164549952 	166561988 	200410119 	150949331 	157311307 	191033464 	416439219 	383560948 	191890530 	219776317 	437160034 	514844923 
A,PER,N_GE1,WORLD,ACCOM,TOTAL,EUR,EL	278279686 	246346858 	276466849 	257213796 	268920202 	291838485 	369267125 	382955219 	264180359 	368846395 	613749149 	615087083 
A,PER,N_GE1,WORLD,ACCOM,TOTAL,EUR,ES	4827473110 	4986567177 	4833850906 	6701045462 b	7641865549 	8511797230 	9379544125 	9785870040 	3954733945 	6768772951 	10728863962 	12440812571 
A,PER,N_GE1,WORLD,ACCOM,TOTAL,EUR,EU27_2020	96619665519 e	99831530461 e	95535676151 	95874358481 	105372968833 	122395263276 	134923651047 	135943828312 	64725665417 	89888943110 	149870294652 	172004023790 e
A,PER,N_GE1,WORLD,ACCOM,TOTAL,EUR,FI	2196058210 b	2145305928 	2147100221 	2084226432 	2123651126 	2396905238 	2469928339 	2744836577 	1253851187 	1189760015 	2595541107 	2681659268 
A,PER,N_GE1,WORLD,ACCOM,TOTAL,EUR,FR	16746642966 b	17338997796 	18447341507 	16758651961 	17668737534 	18675256199 	19586621066 	19331422254 	13686209547 	16725577727 	23321808639 	26203021543 
A,PER,N_GE1,WORLD,ACCOM,TOTAL,EUR,HR	355997715 	343070166 	270224750 	292568666 	215741389 	276047549 	298334746 	307108642 	166646812 	254520183 	364789857 	539041134 
A,PER,N_GE1,WORLD,ACCOM,TOTAL,EUR,HU	546904417 	534246713 	603227851 	637513398 	667348461 	785553291 	842476904 	957579210 	437084508 	519607725 	1028171319 	1535629991 
A,PER,N_GE1,WORLD,ACCOM,TOTAL,EUR,IE	1541454238 	1436457499 	1603361802 	1747928491 	1905256554 	2117119802 	2251293723 	2623556662 	1034929556 	941376539 	3231289186 	3789871366 
A,PER,N_GE1,WORLD,ACCOM,TOTAL,EUR,IT	8288505357 	7173501997 	5226920668 b	5842485731 	6757242886 	8220609705 	8043950945 	8916412109 	4576226857 	5797335665 	8176008017 	8314113580 
A,PER,N_GE1,WORLD,ACCOM,TOTAL,EUR,LT	141530365 	155428546 	209098900 	237491770 	274548708 	314922977 	333495693 	353480267 	180440247 	215369678 	412333537 	461613519 
A,PER,N_GE1,WORLD,ACCOM,TOTAL,EUR,LU	304808330 	308621103 	400326066 	348370406 	334779573 	478281170 	492615339 	708544160 	351317297 	580409150 	1142753637 	1120694984 
A,PER,N_GE1,WORLD,ACCOM,TOTAL,EUR,LV	76431352 	104448259 	148101114 	118026369 	98019864 	126512167 	104492480 	176122438 	54560415 	111401342 	221106246 	325289372 
A,PER,N_GE1,WORLD,ACCOM,TOTAL,EUR,ME	: 	: 	: 	: 	36311016 	40200485 	: 	: 	: 	: 	: 	: 
A,PER,N_GE1,WORLD,ACCOM,TOTAL,EUR,MK	: 	: 	: 	: 	: 	: 	: 	29773414 	9929086 	30214716 	: 	: 
A,PER,N_GE1,WORLD,ACCOM,TOTAL,EUR,MT	62107295 	64546240 	79257523 b	90546853 	96080102 	109126861 	142340937 	154154544 	50837216 	82719672 	149527125 	216781505 
A,PER,N_GE1,WORLD,ACCOM,TOTAL,EUR,NL	5531474533 b	5273607958 	5003938930 	5224948295 	5581150106 	7230162772 	7717115985 	7871596213 	3753088340 	5623263202 	8823912451 	9762822808 
A,PER,N_GE1,WORLD,ACCOM,TOTAL,EUR,NO	: 	3097968139 	3281576654 	3178503336 	3251500853 	3776062906 	2545458749 	: 	: 	1849259469 	3800957926 	2926686116 
A,PER,N_GE1,WORLD,ACCOM,TOTAL,EUR,PL	3435281436 	4111052598 	2263079695 b	2655834550 	2907881583 	3345614015 	3802731541 	4145071611 	2624022716 	3213512646 	4443820519 	5161164552 
A,PER,N_GE1,WORLD,ACCOM,TOTAL,EUR,PT	379806979 	310388109 	383442215 	501026405 	485156963 	579184034 	661991578 	949149526 	545103247 	762436328 	1141531521 	1355599943 
A,PER,N_GE1,WORLD,ACCOM,TOTAL,EUR,RO	441823465 	367053755 	372696865 	429240755 	449190427 	556145322 	680745927 	897418541 	492281651 	917516799 	1264945978 	1377226315 
A,PER,N_GE1,WORLD,ACCOM,TOTAL,EUR,RS	: 	: 	: 	: 	: 	: 	86699640 	: 	: 	: 	: 	: 
A,PER,N_GE1,WORLD,ACCOM,TOTAL,EUR,SE	: 	: 	1620426206 	2315446737 	2550594816 	8398099084 	7002229677 	6674199104 	2686496661 	3746976850 	8015127151 	: 
A,PER,N_GE1,WORLD,ACCOM,TOTAL,EUR,SI	281041757 	267358022 	269758337 	325536626 	327981844 	351443692 	401107408 	410518257 	232762380 	472802907 	562682236 	712660678 
A,PER,N_GE1,WORLD,ACCOM,TOTAL,EUR,SK	607395178 	485609640 b	467206925 	619762437 	661364630 	673357861 	760855733 	1062183014 	324456884 	454399563 	965389737 	1434450017 
A,PER,N_GE1,WORLD,ACCOM,TOTAL,EUR,UK	: @C	23936594990 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER,N_GE1,WORLD,DUR,AVG_NGT,EUR,AL	: 	: 	: 	: 	: 	0 	: 	2.04 	3.35 	: 	: 	: 
A,PER,N_GE1,WORLD,DUR,AVG_NGT,EUR,AT	1.11 	1.41 	2.44 	1.82 	1.74 	2.18 	3.15 	2.12 	4.00 	2.17 	3.59 	4.38 
A,PER,N_GE1,WORLD,DUR,AVG_NGT,EUR,BE	2.74 	2.63 	2.30 	1.88 	1.39 	1.08 b	1.27 	1.19 	1.29 	1.10 	1.17 	2.58 
A,PER,N_GE1,WORLD,DUR,AVG_NGT,EUR,BG	0 b	0 	0 	0 	0 	0 	0 	0 	0.25 	0.40 	0.84 	1.46 
A,PER,N_GE1,WORLD,DUR,AVG_NGT,EUR,CH	: 	: 	1.53 	1.19 	1.10 	0.72 	0.78 	0.89 	1.47 	0.67 	0.45 	: 
A,PER,N_GE1,WORLD,DUR,AVG_NGT,EUR,CY	0.58 b	0.40 	0.21 	0.16 	0.24 	0.31 	0.03 	0.08 	0.20 	0 	0 	0.50 
A,PER,N_GE1,WORLD,DUR,AVG_NGT,EUR,CZ	0.08 	0.04 	0.03 	0.07 	0.04 	0.06 	0.16 	0.11 	0.00 	0.09 	0.05 	0.30 
A,PER,N_GE1,WORLD,DUR,AVG_NGT,EUR,DE	4.34 	5.03 	4.55 	4.15 	4.44 	4.10 	1.20 	1.20 	1.11 	0.58 	0.95 	1.19 
A,PER,N_GE1,WORLD,DUR,AVG_NGT,EUR,DK	9.61 	12.22 b	12.95 b	11.59 	15.09 	1.44 	2.30 	5.80 	3.03 	7.27 	3.45 	3.33 
A,PER,N_GE1,WORLD,DUR,AVG_NGT,EUR,EA20	3.09 	2.98 	2.72 	2.75 	2.77 	1.67 	0.87 	1.01 	0.75 	0.68 	0.85 	0.99 
A,PER,N_GE1,WORLD,DUR,AVG_NGT,EUR,EE	2.21 	3.35 	4.10 	0.79 	0.46 	0.84 	1.62 	0.86 	1.31 	0.48 	1.18 	0.99 
A,PER,N_GE1,WORLD,DUR,AVG_NGT,EUR,EL	8.05 	0.05 	0.17 	0.13 	0.13 	0.15 	0.07 	0.16 	0.14 	0.10 	0.21 	0.20 
A,PER,N_GE1,WORLD,DUR,AVG_NGT,EUR,ES	1.93 	0.21 	0.28 	1.32 b	0.81 	0.76 	0.66 	0.93 	0.55 	0.94 	0.90 	0.75 
A,PER,N_GE1,WORLD,DUR,AVG_NGT,EUR,EU27_2020	2.93 e	2.88 e	2.61 	2.62 	2.66 	1.67 	0.86 	1.08 	0.74 	0.82 	0.84 	0.96 e
A,PER,N_GE1,WORLD,DUR,AVG_NGT,EUR,FI	1.91 b	3.21 	3.05 	2.13 	2.34 	1.43 	2.58 	4.65 	1.84 	2.03 	2.23 	1.24 
