freq,c_dest,purpose,duration,sex,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,DOM,PER,N1-3,F,NR,AL	: 	: 	: 	: 	: 	1213286 	: 	1424643 	938050 	: 	: 	: 
A,DOM,PER,N1-3,F,NR,AT	3155661 	3417521 	3616832 	3465207 	3716126 	3505223 	3874006 	4113956 	3406028 	3551574 	4595712 	5003122 
A,DOM,PER,N1-3,F,NR,BE	756712 	907695 	742464 	1152356 	938572 	1118499 b	1281495 	1487201 	1177284 	1953238 	1735640 	1763599 
A,DOM,PER,N1-3,F,NR,BG	1029215 b	953716 	931887 	703343 	832847 	1377737 	1188827 	1101915 	610053 	838263 	1048829 	1045056 
A,DOM,PER,N1-3,F,NR,CH	2156668 	2350827 	2072561 	2415184 	1950026 	2213164 	1973983 	2113764 	2120157 	2734816 	2236541 	: 
A,DOM,PER,N1-3,F,NR,CY	562933 b	454782 	503817 	546025 	606797 	584684 	698367 	717918 	743187 	835392 	722564 	643156 
A,DOM,PER,N1-3,F,NR,CZ	9846620 	9190860 	9587139 	8636065 	9068171 	10393999 	9685218 	9759743 	6474900 	7525466 	9238655 	6640396 
A,DOM,PER,N1-3,F,NR,DE	43068966 	45427223 	41834181 	47552174 	42673669 	39658140 	41534462 	42823795 	30735330 	35932065 	36794577 	41070657 
A,DOM,PER,N1-3,F,NR,DK	9028459 	10807023 b	10928978 	9970093 	9707102 	7100162 	3841654 	7091004 	6965382 	5168258 	5040335 	4752552 
A,DOM,PER,N1-3,F,NR,EA20	188673711 	186148591 	183894375 	185866653 	186328259 	194631452 	197899589 	203307198 	135747936 	178023648 	195056880 	196128016 
A,DOM,PER,N1-3,F,NR,EE	778373 	707976 	1096789 	1138618 	1321344 	1407400 	1867883 	1421614 	884322 	973252 	1179985 	1340906 
A,DOM,PER,N1-3,F,NR,EL	1354127 	681366 	839907 	783161 	721322 	765832 	792791 	681733 	596319 	595836 	814707 	782847 
A,DOM,PER,N1-3,F,NR,ES	42185413 	41661423 	40319810 	43118440 b	45693833 	48350432 	48514030 	48438987 	25500017 	35824259 	42864544 	44911348 
A,DOM,PER,N1-3,F,NR,EU27_2020	239929607 e	237539538 e	236334720 	237543652 	238837075 	249132365 	248714468 	257226408 	182290653 	228863480 	253480873 	254269169 e
A,DOM,PER,N1-3,F,NR,FI	10781557 b	10657945 	9975285 	10451988 	10240741 	10619319 	9865975 	11658498 	7695341 	10253141 	9454987 	8641808 
A,DOM,PER,N1-3,F,NR,FR	51077710 	51139276 	52093134 	45753010 	45037427 	54225391 	52329793 	54974343 	41276042 	57236587 	62158927 	57485234 
A,DOM,PER,N1-3,F,NR,HR	1354930 	1403279 	1351575 	910741 	612511 	581996 	654565 	812710 	576200 	734956 	735695 	823965 
A,DOM,PER,N1-3,F,NR,HU	5552625 	4372732 	4891015 	4942422 	4666790 	4831280 	4711562 	4586411 	2726075 	3156024 	4209250 	4127560 
A,DOM,PER,N1-3,F,NR,IE	2825631 	2795523 	2912686 	3015129 	3228973 	3298297 	3872165 	4051414 	2470599 	1819787 	4700665 	4238321 
A,DOM,PER,N1-3,F,NR,IT	11099479 	8536717 	9729440 b	9340477 	11976946 	10918065 	12922347 	10978418 	6482785 	6272079 	8548644 	7641693 
A,DOM,PER,N1-3,F,NR,LT	924391 	900454 	980705 	996894 	945836 	950814 	1020753 	1120681 	955207 	1265910 	1509517 	1690893 
A,DOM,PER,N1-3,F,NR,LU	17357 	18602 u	11587 u	: u	: u	6218 u	11242 u	7671 u	62342 	55932 	52400 	75394 
A,DOM,PER,N1-3,F,NR,LV	1785935 	1483548 	1472571 	1460861 	1476337 	1314985 	1289771 	1222832 	567974 	1114400 	1348249 	1342513 
A,DOM,PER,N1-3,F,NR,ME	: 	: 	: 	: 	235047 	253879 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N1-3,F,NR,MK	: 	: 	: 	: 	: 	: 	: 	42390 	73763 	67694 	: 	: 
A,DOM,PER,N1-3,F,NR,MT	79812 	84332 	79009 b	87689 	124570 	107022 	101604 	91088 	133135 	133387 	146397 	166612 
A,DOM,PER,N1-3,F,NR,NL	10701192 b	9010839 	9092401 	8705655 	8858366 	8560768 	7730933 	8384234 	6449478 	12072764 	8226162 	8279254 
A,DOM,PER,N1-3,F,NR,NO	: 	3325374 	4003871 	3938253 	3500557 	3967179 	6303948 	: 	: 	5950613 	6945883 	6484581 
A,DOM,PER,N1-3,F,NR,PL	11821378 	11944122 	12198795 b	12674999 	13689155 	14369171 	14986590 	15414603 	11116549 	12996317 	14702033 	15190391 
A,DOM,PER,N1-3,F,NR,PT	4480982 	4846567 	4853217 	5076695 	5321122 	5735923 	5896999 	6680815 	3964158 	4695177 	6075898 	6396521 
A,DOM,PER,N1-3,F,NR,RO	4851277 	5178627 	5081358 	4958095 	5150492 	5447804 	5412191 	5352191 	3327274 	4963116 	5227252 	6270182 
A,DOM,PER,N1-3,F,NR,RS	: 	: 	: 	: 	: 	: 	222598 	: 	: 	: 	: 	: 
A,DOM,PER,N1-3,F,NR,SE	: 	: 	8821173 	9791983 	9394260 	10980760 	10988836 	10613343 	15322484 	16192388 	18957637 	: 
A,DOM,PER,N1-3,F,NR,SI	725907 	750061 	744138 	573449 	662768 	806924 	708508 	635059 	370582 	1203356 	1034990 	1314713 
A,DOM,PER,N1-3,F,NR,SK	956643 	1263464 b	1644826 	1733809 	2164642 	2115520 	2931900 	3004231 	1701607 	1500553 	2356621 	2515460 
A,DOM,PER,N1-3,F,NR,UK	34691321 	33666564 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N1-3,M,NR,AL	: 	: 	: 	: 	: 	1234080 	: 	1391603 	918538 	: 	: 	: 
A,DOM,PER,N1-3,M,NR,AT	2621451 	2897288 	3092351 	2886406 	3166197 	3259433 	3487379 	3795149 	2882018 	3126377 	4903844 	4208210 
A,DOM,PER,N1-3,M,NR,BE	733169 	763091 	693318 	1083315 	759903 	1057031 b	1188181 	1295230 	1042525 	1652986 	1580599 	1639664 
A,DOM,PER,N1-3,M,NR,BG	912071 b	923995 	923977 	720953 	763326 	1359110 	1146355 	1102891 	598102 	839438 	918297 	984950 
A,DOM,PER,N1-3,M,NR,CH	1748452 	2099615 	1920451 	1643112 	1886830 	1755197 	1759306 	1900346 	1954453 	1820546 	2034328 	: 
A,DOM,PER,N1-3,M,NR,CY	511631 b	425022 	458968 	536568 	507316 	582426 	631112 	647083 	701705 	751099 	626618 	608752 
A,DOM,PER,N1-3,M,NR,CZ	8782282 	8024222 	8941078 	7567268 	8633921 	9667640 	8813148 	8541681 	6299737 	6967134 	8215297 	6200431 
A,DOM,PER,N1-3,M,NR,DE	41839098 	41923051 	38275374 	41982270 	44430666 	39405380 	40856135 	41557255 	26710424 	34340759 	30488803 	37401605 
A,DOM,PER,N1-3,M,NR,DK	8314450 	8389384 b	8582214 	9526294 	7693114 	6737952 	2746896 	5248749 	5025183 	3576208 	3415881 	3183148 
A,DOM,PER,N1-3,M,NR,EA20	182716271 	176896497 	172319663 	174942325 	180848258 	182848628 	187572468 	181307792 	122155989 	156868304 	166846330 	184502016 
A,DOM,PER,N1-3,M,NR,EE	575595 	678496 	951232 	1009119 	1277568 	1191667 	1816272 	1370776 	846736 	810934 	977896 	1264118 
A,DOM,PER,N1-3,M,NR,EL	1304800 	676090 	756502 	689368 	615844 	680706 	728694 	618966 	566496 	624790 	827720 	694591 
A,DOM,PER,N1-3,M,NR,ES	41354165 	40396869 	39860314 	44826519 b	46721971 	50090246 	49967248 	47660006 	25324951 	37724653 	42531094 	42913796 
A,DOM,PER,N1-3,M,NR,EU27_2020	231334824 e	223149978 e	219262437 	223019806 	229755084 	232361076 	232005362 	229338547 	168080635 	205907276 	221286794 	239140472 e
A,DOM,PER,N1-3,M,NR,FI	10701781 b	10561937 	10094365 	10048681 	10397394 	10576943 	10414377 	8973051 	7056630 	9400771 	8150832 	6766709 
A,DOM,PER,N1-3,M,NR,FR	50013124 	48552123 	48106416 	42980635 	42103754 	44786712 	44375367 	43109071 	35483922 	42508629 	47253316 	59085467 
A,DOM,PER,N1-3,M,NR,HR	1673162 	1765877 	1511421 	948110 	706206 	650558 	727271 	940315 	670094 	769090 	710385 	863069 
A,DOM,PER,N1-3,M,NR,HU	4851686 	3910275 	4114811 	4235913 	4120553 	4136528 	3956047 	4128710 	2588639 	2880813 	3796178 	3810806 
A,DOM,PER,N1-3,M,NR,IE	2163962 	2190458 	2388836 	2396910 	2426698 	2688986 	3011296 	3154745 	2029426 	1429374 	3586290 	3522557 
A,DOM,PER,N1-3,M,NR,IT	11815339 	9079377 	9906360 b	9482003 	10980238 	10074309 	12771272 	10604750 	6156782 	5684204 	7986638 	7341478 
A,DOM,PER,N1-3,M,NR,LT	876597 	872302 	878336 	897330 	863409 	851103 	871455 	919545 	804425 	1064027 	1242098 	1295454 
A,DOM,PER,N1-3,M,NR,LU	20772 	29471 u	8588 u	7450 u	: u	16322 u	16763 u	15754 u	49114 	60141 	65696 	77350 
A,DOM,PER,N1-3,M,NR,LV	1483441 	1225986 	1246940 	1115895 	1251356 	1274589 	980639 	938554 	505279 	909880 	1128235 	1178653 
A,DOM,PER,N1-3,M,NR,ME	: 	: 	: 	: 	291997 	288842 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N1-3,M,NR,MK	: 	: 	: 	: 	: 	: 	: 	40917 	72401 	57553 	: 	: 
A,DOM,PER,N1-3,M,NR,MT	85823 	79856 	86910 b	81616 	134494 	104040 	95191 	98675 	148403 	162390 	142331 	191926 
A,DOM,PER,N1-3,M,NR,NL	8953887 b	8529001 	7932111 	7451351 	7336432 	7611032 	7570767 	7270643 	6191470 	8968495 	5781911 	6151348 
A,DOM,PER,N1-3,M,NR,NO	: 	3241949 	4170877 	3559818 	4041398 	3866835 	5513203 	: 	: 	6650598 	5880355 	6059740 
A,DOM,PER,N1-3,M,NR,PL	11732579 	10826965 	10253290 b	10620559 	11744872 	12363121 	12695962 	13303127 	10483223 	12630626 	14058139 	14360925 
A,DOM,PER,N1-3,M,NR,PT	4176076 	4029207 	4176512 	4381134 	4543277 	5012794 	5263831 	5479462 	3258251 	3973680 	5217163 	5291512 
A,DOM,PER,N1-3,M,NR,RO	4767647 	5105889 	5179116 	5069847 	5300823 	5563867 	5538760 	5576477 	3663765 	5453483 	5505482 	6435665 
A,DOM,PER,N1-3,M,NR,RS	: 	: 	: 	: 	: 	: 	237816 u	: 	: 	: 	: 	: 
A,DOM,PER,N1-3,M,NR,SE	: 	: 	8948289 	10336649 	10650217 	9684229 	9535726 	10129119 	17265996 	16691270 	18531188 	: 
A,DOM,PER,N1-3,M,NR,SI	878048 	817931 	727913 	554384 	592069 	609736 	851685 	613583 	435858 	1206681 	999718 	1416279 
A,DOM,PER,N1-3,M,NR,SK	934350 	1403063 b	1166896 	1583260 	2028403 	2324615 	1947530 	2245177 	1291482 	1699344 	2645144 	2589479 
A,DOM,PER,N1-3,M,NR,UK	31404702 	31260584 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N1-3,T,NR,AL	: 	: 	: 	: 	: 	2447366 	: 	2816246 	1856588 	: 	: 	: 
A,DOM,PER,N1-3,T,NR,AT	5777112 	6314809 	6709183 	6351613 	6882323 	6764655 	7361385 	7909105 	6288046 	6677951 	9499556 	9211332 
A,DOM,PER,N1-3,T,NR,BE	1489881 	1670786 	1435782 	2235671 	1698476 	2175530 b	2469676 	2782431 	2219809 	3606225 	3316240 	3403263 
A,DOM,PER,N1-3,T,NR,BG	1941286 b	1877711 	1855864 	1424295 	1596173 	2736847 	2335183 	2204807 	1208155 	1677700 	1967127 	2030006 
A,DOM,PER,N1-3,T,NR,CH	3905121 	4450442 	3993011 	4058296 	3836856 	3968361 	3733290 	4014110 	4074610 	4555362 	4270869 	: 
A,DOM,PER,N1-3,T,NR,CY	1074564 b	879804 	962785 	1082593 	1114113 	1167110 	1329479 	1365000 	1444892 	1586491 	1349181 	1251908 
A,DOM,PER,N1-3,T,NR,CZ	18628902 	17215083 	18528217 	16203332 	17702092 	20061639 	18498367 	18301424 	12774637 	14492600 	17453952 	12840828 
A,DOM,PER,N1-3,T,NR,DE	84908064 	87350273 	80109555 	89534444 	87104335 	79063521 	82390597 	84381050 	57445754 	70272824 	67283380 	78472262 
A,DOM,PER,N1-3,T,NR,DK	17342909 	19196406 b	19511192 	19496387 	17400216 	13838114 	6588550 	12339753 	11990566 	8744466 	8456216 	7935700 
A,DOM,PER,N1-3,T,NR,EA20	371389983 	363045088 	356214038 	360808977 	367176517 	377480080 	385472057 	384614989 	257903925 	334891953 	361903210 	380630032 
A,DOM,PER,N1-3,T,NR,EE	1353968 	1386473 	2048022 	2147737 	2598912 	2599066 	3684154 	2792391 	1731058 	1784187 	2157881 	2605023 
A,DOM,PER,N1-3,T,NR,EL	2658927 	1357457 	1596409 	1472529 	1337167 	1446538 	1521486 	1300699 	1162815 	1220626 	1642427 	1477438 
A,DOM,PER,N1-3,T,NR,ES	83539578 	82058291 	80180124 	87944959 b	92415804 	98440678 	98481278 	96098994 	50824968 	73548911 	85395637 	87825144 
A,DOM,PER,N1-3,T,NR,EU27_2020	471264431 e	460689516 e	455597157 	460563458 	468592159 	481493441 	480719831 	486564955 	350371288 	434770756 	474767666 	493409640 e
A,DOM,PER,N1-3,T,NR,FI	21483338 b	21219881 	20069650 	20500670 	20638135 	21196262 	20280352 	20631549 	14751971 	19653912 	17605819 	15408517 
A,DOM,PER,N1-3,T,NR,FR	101090835 	99691398 	100199550 	88733645 	87141181 	99012103 	96705160 	98083414 	76759964 	99745216 	109412243 	116570701 
A,DOM,PER,N1-3,T,NR,HR	3028091 	3169156 	2862996 	1858851 	1318717 	1232553 	1381835 	1753025 	1246294 	1504046 	1446080 	1687033 
A,DOM,PER,N1-3,T,NR,HU	10404311 	8283007 	9005826 	9178335 	8787343 	8967808 	8667609 	8715121 	5314714 	6036837 	8005428 	7938366 
A,DOM,PER,N1-3,T,NR,IE	4989593 	4985981 	5301522 	5412039 	5655671 	5987283 	6883462 	7206159 	4500025 	3249162 	8286955 	7760878 
A,DOM,PER,N1-3,T,NR,IT	22914818 	17616095 	19635800 b	18822480 	22957185 	20992374 	25693619 	21583168 	12639567 	11956283 	16535282 	14983171 
A,DOM,PER,N1-3,T,NR,LT	1800988 	1772756 	1859041 	1894224 	1809246 	1801918 	1892208 	2040226 	1759632 	2329937 	2751614 	2986346 
A,DOM,PER,N1-3,T,NR,LU	38128 	48074 	20175 	11722 u	11417 u	22540 	28005 	23425 	111457 	116073 	118096 	152744 
A,DOM,PER,N1-3,T,NR,LV	3269376 	2709534 	2719511 	2576756 	2727693 	2589575 	2270410 	2161385 	1073253 	2024280 	2476484 	2521166 
A,DOM,PER,N1-3,T,NR,ME	: 	: 	: 	: 	527043 	542721 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N1-3,T,NR,MK	: 	: 	: 	: 	: 	: 	: 	83307 	146164 	125247 	: 	: 
A,DOM,PER,N1-3,T,NR,MT	165635 	164188 	165919 b	169306 	259064 	211062 	196795 	189763 	281538 	295777 	288728 	358537 
A,DOM,PER,N1-3,T,NR,NL	19655079 b	17539840 	17024512 	16157006 	16194798 	16171800 	15301700 	15654877 	12640948 	21041260 	14008073 	14430602 
A,DOM,PER,N1-3,T,NR,NO	: 	6567323 	8174748 	7498071 	7541954 	7834014 	11817151 	: 	: 	12601211 	12826238 	12544320 
A,DOM,PER,N1-3,T,NR,PL	23553957 	22771087 	22452085 b	23295558 	25434026 	26732292 	27682552 	28717731 	21599773 	25626943 	28760173 	29551317 
A,DOM,PER,N1-3,T,NR,PT	8657057 	8875773 	9029729 	9457829 	9864400 	10748717 	11160830 	12160278 	7222409 	8668857 	11293061 	11688033 
A,DOM,PER,N1-3,T,NR,RO	9618923 	10284515 	10260473 	10027943 	10451315 	11011671 	10950951 	10928668 	6991039 	10416599 	10732734 	12705847 
A,DOM,PER,N1-3,T,NR,RS	: 	: 	: 	: 	: 	: 	460414 	: 	: 	: 	: 	: 
A,DOM,PER,N1-3,T,NR,SE	: 	: 	17769462 	20128632 	20044477 	20664989 	20524562 	20742462 	32588480 	32883658 	37488826 	: 
A,DOM,PER,N1-3,T,NR,SI	1603955 	1567992 	1472051 	1127833 	1254837 	1416660 	1560193 	1248643 	806440 	2410037 	2034708 	2730991 
A,DOM,PER,N1-3,T,NR,SK	1890993 	2666527 b	2811721 	3317069 	4193045 	4440135 	4879430 	5249407 	2993088 	3199897 	5001765 	5104940 
A,DOM,PER,N1-3,T,NR,UK	66096023 	64927148 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N_GE1,F,NR,AL	: 	: 	: 	: 	: 	1631058 	: 	2143516 	1471872 	: 	: 	: 
A,DOM,PER,N_GE1,F,NR,AT	4871291 	5261707 	5176299 	5069486 	5408025 	5204656 	5556580 	5799476 	5051885 	5084016 	6208094 	6836474 
A,DOM,PER,N_GE1,F,NR,BE	1310191 	1379605 	1165598 	1624101 	1574082 	1517434 b	1876484 	2081136 	1749532 	2777854 	2350756 	2383911 
A,DOM,PER,N_GE1,F,NR,BG	1572120 b	1650158 	1541875 	1236440 	1529933 	2333310 	2111710 	1843103 	1133325 	1473499 	1760942 	1877151 
A,DOM,PER,N_GE1,F,NR,CH	3400448 	3553511 	3344980 	3568669 	3069671 	3436285 	3116136 	3233252 	3734993 	4258971 	3514498 	: 
A,DOM,PER,N_GE1,F,NR,CY	702209 b	638691 	694212 	657309 	742846 	704702 	826106 	857666 	877448 	977922 	885938 	793376 
A,DOM,PER,N_GE1,F,NR,CZ	13805988 	13027339 	13730941 	12429884 	13523369 	14652934 	13843727 	14319343 	10465448 	11534881 	13559377 	10335830 
A,DOM,PER,N_GE1,F,NR,DE	67953220 	69455164 	66471076 	71952073 	67916487 	63471165 	68001858 	66263976 	49110837 	58701447 	62550187 	65312433 
A,DOM,PER,N_GE1,F,NR,DK	10755789 	12342481 b	12834134 	11604064 	11440410 	8889114 	5690329 	9709141 	9456448 	7067946 	6472070 	6216275 
A,DOM,PER,N_GE1,F,NR,EA20	300555634 	295948310 	292876501 	290421327 	293657221 	302571219 	310708158 	310767037 	223893749 	285819777 	307657693 	305238944 
A,DOM,PER,N_GE1,F,NR,EE	943926 	813337 	1226837 	1272837 	1459932 	1558451 	2008802 	1577116 	1025293 	1128804 	1325632 	1488696 
A,DOM,PER,N_GE1,F,NR,EL	3249673 	2394176 	2823307 	2594597 	2460489 	2809743 	2896742 	2624324 	2273351 	2380572 	2954297 	3008324 
A,DOM,PER,N_GE1,F,NR,ES	59159624 	58517554 	56326563 	59219769 b	63366188 	66464371 	66622392 	67085258 	36916628 	52023909 	60911671 	64758753 
A,DOM,PER,N_GE1,F,NR,EU27_2020	374458793 e	370434430 e	368244143 	364550528 	370119144 	382837038 	387787691 	393107155 	294412122 	363611289 	395637934 	393357117 e
A,DOM,PER,N_GE1,F,NR,FI	13582647 b	13499494 	12771957 	13309853 	13181793 	13441238 	12977325 	14425616 	11136740 	14561743 	13179589 	11971251 
A,DOM,PER,N_GE1,F,NR,FR	94154623 	94469467 	95400408 	85246486 	83243741 	94086621 	92442277 	92582539 	76195742 	97524692 	103791169 	95504892 
A,DOM,PER,N_GE1,F,NR,HR	2474030 	2403880 	2315395 	1773111 	1237006 	1335113 	1346076 	1685206 	1187373 	1460524 	1424866 	1724806 
A,DOM,PER,N_GE1,F,NR,HU	7556907 	6212425 	6725820 	6687756 	6305395 	6400028 	6332357 	6274832 	3844350 	4400128 	5526884 	5573040 
A,DOM,PER,N_GE1,F,NR,IE	3425546 	3476166 	3535042 	3629452 	3876281 	3929209 	4579515 	4800870 	3180541 	2366182 	5614700 	5016429 
A,DOM,PER,N_GE1,F,NR,IT	21569905 	18235202 	19211057 b	18604594 	22413565 	21334824 	24492661 	21568773 	13996018 	15808140 	18195721 	16857130 
A,DOM,PER,N_GE1,F,NR,LT	1137412 	1185393 	1222848 	1223239 	1161349 	1170165 	1247964 	1350272 	1162160 	1484453 	1737416 	1972675 
